"location","additionalcapacity_family","additionalcapacity_group","additionalcapacity_total","children_0to5","capacity","percentworking","percentworking_moe","keep","percentworking_lci","percentworking_uci","newcapacity_sb142","percentcapacity_0to5","newpercentcapacity_0to5","capacityincrease","percentcapacity_working","newpercentcapacity_working","capacityincrease_working"
"Beaverhead",12,72,84,520,212,0.662813102119461,0.141315915184947,1,0.521497186934514,0.804129017304407,296,0.407692307692308,0.569230769230769,0.161538461538462,0.615093917710197,0.858810375670841,0.243716457960644
"Big Horn",8,16,24,1478,96,0.645335389360062,0.129900194682058,1,0.515435194678003,0.77523558404212,120,0.0649526387009472,0.081190798376184,0.0162381596752368,0.100649429384861,0.125811786731076,0.0251623573462152
"Blaine",4,16,20,652,93,0.679365079365079,0.130781923637569,1,0.548583155727511,0.810147003002648,113,0.142638036809816,0.173312883435583,0.0306748466257669,0.209957857920991,0.255110085430881,0.0451522275098905
"Broadwater",8,16,24,390,55,0.49211356466877,0.236640806891478,1,0.255472757777292,0.728754371560247,79,0.141025641025641,0.202564102564103,0.0615384615384615,0.286571334648258,0.411620644312952,0.125049309664694
"Carbon",0,24,24,474,84,0.629067245119306,0.140245864376321,1,0.488821380742985,0.769313109495627,108,0.177215189873418,0.227848101265823,0.0506329113924051,0.281711043212571,0.362199912701877,0.080488869489306
"Carter",0,0,0,117,0,0.575221238938053,0.253799281653739,0,0.321421957284314,0.829020520591792,0,0,0,0,0,0,0
"Cascade",88,176,264,6295,2809,0.604393816110659,0.0617136391391275,1,0.542680176971532,0.666107455249787,3073,0.446227164416203,0.488165210484512,0.0419380460683081,0.738305311076351,0.807693919878116,0.0693886088017647
"Chouteau",4,16,20,325,32,0.502475247524752,0.114658996360586,1,0.387816251164167,0.617134243885338,52,0.0984615384615385,0.16,0.0615384615384615,0.195953012504737,0.318423645320197,0.12247063281546
"Custer",32,56,88,785,139,0.645320197044335,0.135020922150475,1,0.51029927489386,0.78034111919481,227,0.177070063694268,0.289171974522293,0.112101910828025,0.274391014732338,0.448106189526912,0.173715174794574
"Daniels",0,8,8,102,12,0.625,0.179649754489658,1,0.445350245510342,0.804649754489658,20,0.117647058823529,0.196078431372549,0.0784313725490196,0.188235294117647,0.313725490196078,0.125490196078431
